annotation_id,annotator,classification,created_at,image,lead_time,updated_at
1,1,Trucks,2025-01-23T04:14:32.842760Z,/data/upload/2/29a2fc2f-img_600.jpg,2.216,2025-01-23T04:14:32.842760Z
2,1,Trucks,2025-01-23T04:14:36.592836Z,/data/upload/2/36ccf2aa-img_601.jpg,2.723,2025-01-23T04:14:36.592836Z
3,1,No Trucks,2025-01-23T04:14:41.282853Z,/data/upload/2/a73d0e21-img_602.jpg,3.775,2025-01-23T04:14:41.282853Z
4,1,No Trucks,2025-01-23T04:14:47.530764Z,/data/upload/2/1d7216a6-img_603.jpg,5.467,2025-01-23T04:14:47.530764Z
5,1,No Trucks,2025-01-23T04:14:52.940850Z,/data/upload/2/08339247-img_604.jpg,4.346,2025-01-23T04:14:52.940850Z
6,1,Trucks,2025-01-23T04:15:00.096920Z,/data/upload/2/e78042b2-img_605.jpg,6.434,2025-01-23T04:15:00.096920Z
7,1,No Trucks,2025-01-23T04:14:32.674191Z,/data/upload/2/e15642v2-img_606.jpg,4.157,2025-01-23T04:15:00.537213Z
8,1,No Trucks,2025-01-23T04:14:11.778091Z,/data/upload/2/38328813-img_607.jpg,2.058,2025-01-23T04:14:11.778091Z
9,1,Trucks,2025-01-23T04:14:16.287996Z,/data/upload/2/a596028a-img_608.jpg,2.682,2025-01-23T04:14:16.287996Z
10,1,No Trucks,2025-01-23T04:14:19.153885Z,/data/upload/2/ed48b61c-img_609.jpg,2.122,2025-01-23T04:14:19.153885Z
11,1,No Trucks,2025-01-23T04:14:22.255887Z,/data/upload/2/3853c738-img_610.jpg,2.249,2025-01-23T04:14:22.255887Z
12,1,Trucks,2025-01-23T04:14:27.036057Z,/data/upload/2/696709ab-img_611.jpg,3.951,2025-01-23T04:14:27.036057Z
13,1,No Trucks,2025-01-23T04:13:35.859797Z,/data/upload/2/a74994c0-img_612.jpg,1.82,2025-01-23T04:13:35.859797Z
14,1,No Trucks,2025-01-23T04:13:41.512639Z,/data/upload/2/0e591271-img_613.jpg,21.961,2025-01-23T04:13:41.512639Z
15,1,No Trucks,2025-01-23T04:13:45.644680Z,/data/upload/2/37f64a5f-img_614.jpg,2.773,2025-01-23T04:13:45.644680Z
16,1,Trucks,2025-01-23T04:13:50.976900Z,/data/upload/2/77e786c4-img_615.jpg,3.049,2025-01-23T04:13:50.976900Z
17,1,No Trucks,2025-01-23T04:13:54.871643Z,/data/upload/2/62b32d8d-img_616.jpg,2.887,2025-01-23T04:13:54.871643Z
18,1,No Trucks,2025-01-23T04:13:59.590486Z,/data/upload/2/95be81bf-img_617.jpg,3.716,2025-01-23T04:13:59.590486Z
19,1,No Trucks,2025-01-23T04:14:05.880045Z,/data/upload/2/31d8ff71-img_618.jpg,3.972,2025-01-23T04:14:05.880045Z
20,1,No Trucks,2025-01-23T04:14:08.967095Z,/data/upload/2/40f3c038-img_619.jpg,2.188,2025-01-23T04:14:08.967095Z
